solution	question	in_rows	time_sec	q
gandalff	sum v1 by id1	10000	0.000309462	Q1
pandas	sum v1 by id1	10000	0.001251	Q1
polars	sum v1 by id1	10000	0.000453	Q1
gandalff	sum v1 by id1	100000	0.002868218	Q1
pandas	sum v1 by id1	100000	0.004647	Q1
polars	sum v1 by id1	100000	0.000786	Q1
gandalff	sum v1 by id1	1000000	0.032708118	Q1
pandas	sum v1 by id1	1000000	0.035936	Q1
polars	sum v1 by id1	1000000	0.051229	Q1
gandalff	sum v1 by id1	10000000	0.4723337	Q1
pandas	sum v1 by id1	10000000	0.348044	Q1
polars	sum v1 by id1	10000000	0.112953	Q1
gandalff	sum v1 by id1:id2	10000	0.003563184	Q2
pandas	sum v1 by id1:id2	10000	0.002848	Q2
polars	sum v1 by id1:id2	10000	0.000701	Q2
gandalff	sum v1 by id1:id2	100000	0.01232507	Q2
pandas	sum v1 by id1:id2	100000	0.011392	Q2
polars	sum v1 by id1:id2	100000	0.001238	Q2
gandalff	sum v1 by id1:id2	1000000	0.104259683	Q2
pandas	sum v1 by id1:id2	1000000	0.085909	Q2
polars	sum v1 by id1:id2	1000000	0.01002	Q2
gandalff	sum v1 by id1:id2	10000000	1.6628082	Q2
pandas	sum v1 by id1:id2	10000000	0.823921	Q2
polars	sum v1 by id1:id2	10000000	0.120054	Q2
gandalff	sum v1 mean v3 by id3	10000	0.000425776	Q3
pandas	sum v1 mean v3 by id3	10000	0.001332	Q3
polars	sum v1 mean v3 by id3	10000	0.000428	Q3
gandalff	sum v1 mean v3 by id3	100000	0.003898553	Q3
pandas	sum v1 mean v3 by id3	100000	0.006541	Q3
polars	sum v1 mean v3 by id3	100000	0.000909	Q3
gandalff	sum v1 mean v3 by id3	1000000	0.059748114	Q3
pandas	sum v1 mean v3 by id3	1000000	0.069581	Q3
polars	sum v1 mean v3 by id3	1000000	0.010089	Q3
gandalff	sum v1 mean v3 by id3	10000000	1.0893764	Q3
pandas	sum v1 mean v3 by id3	10000000	1.197504	Q3
polars	sum v1 mean v3 by id3	10000000	0.235976	Q3
gandalff	mean v1:v3 by id4	10000	0.000461878	Q4
pandas	mean v1:v3 by id4	10000	0.001058	Q4
polars	mean v1:v3 by id4	10000	0.000268	Q4
gandalff	mean v1:v3 by id4	100000	0.003827185	Q4
pandas	mean v1:v3 by id4	100000	0.004188	Q4
polars	mean v1:v3 by id4	100000	0.000567	Q4
gandalff	mean v1:v3 by id4	1000000	0.054105071	Q4
pandas	mean v1:v3 by id4	1000000	0.020604	Q4
polars	mean v1:v3 by id4	1000000	0.061847	Q4
gandalff	mean v1:v3 by id4	10000000	0.8529098	Q4
pandas	mean v1:v3 by id4	10000000	0.180004	Q4
polars	mean v1:v3 by id4	10000000	0.099954	Q4
gandalff	sum v1:v3 by id6	10000	0.000442869	Q5
pandas	sum v1:v3 by id6	10000	0.00121	Q5
polars	sum v1:v3 by id6	10000	0.000247	Q5
gandalff	sum v1:v3 by id6	100000	0.004384648	Q5
pandas	sum v1:v3 by id6	100000	0.00331	Q5
polars	sum v1:v3 by id6	100000	0.000794	Q5
gandalff	sum v1:v3 by id6	1000000	0.071666805	Q5
pandas	sum v1:v3 by id6	1000000	0.036462	Q5
polars	sum v1:v3 by id6	1000000	0.006813	Q5
gandalff	sum v1:v3 by id6	10000000	1.2422858	Q5
pandas	sum v1:v3 by id6	10000000	0.396701	Q5
polars	sum v1:v3 by id6	10000000	0.112696	Q5
