nodename,batch,timestamp,task,data,in_rows,question,out_rows,out_cols,solution,version,git,fun,run,time_sec,mem_gb,cache,chk,chk_time_sec,comment,on_disk
pcmacs,,1683324173.8769524,filter,G1_1e5_1e2_0_0,100000,sum v1 by id1,100,2,polars,0.17.10,,.filter,1,0.009805,0.055,TRUE,300292,-1,,FALSE
pcmacs,,1683324173.9595137,filter,G1_1e5_1e2_0_0,100000,sum v1 by id1:id2,9999,3,polars,0.17.10,,.filter,1,0.012655,0.087,TRUE,300292,-1,,FALSE
pcmacs,,1683324174.009348,filter,G1_1e5_1e2_0_0,100000,sum v1 mean v3 by id3,1000,3,polars,0.17.10,,.filter,1,0.008401,0.097,TRUE,300292,-1,,FALSE
pcmacs,,1683324174.0384352,filter,G1_1e5_1e2_0_0,100000,mean v1:v3 by id4,100,4,polars,0.17.10,,.filter,1,0.004426,0.097,TRUE,248,-1,,FALSE
pcmacs,,1683324174.0732775,filter,G1_1e5_1e2_0_0,100000,sum v1:v3 by id6,1000,4,polars,0.17.10,,.filter,1,0.00543,0.094,TRUE,300292,-1,,FALSE
pcmacs,,1683324176.7700872,filter,G1_1e6_1e2_0_0,1000000,sum v1 by id1,100,2,polars,0.17.10,,.filter,1,0.515646,0.19,TRUE,3000297,-1,,FALSE
pcmacs,,1683324177.21952,filter,G1_1e6_1e2_0_0,1000000,sum v1 by id1:id2,10000,3,polars,0.17.10,,.filter,1,0.086848,0.217,TRUE,3000297,-1,,FALSE
pcmacs,,1683324177.6612382,filter,G1_1e6_1e2_0_0,1000000,sum v1 mean v3 by id3,10000,3,polars,0.17.10,,.filter,1,0.08566,0.239,TRUE,3000297,-1,,FALSE
pcmacs,,1683324180.1977253,filter,G1_1e6_1e2_0_0,1000000,mean v1:v3 by id4,100,4,polars,0.17.10,,.filter,1,0.496073,0.177,TRUE,250,-1,,FALSE
pcmacs,,1683324180.464593,filter,G1_1e6_1e2_0_0,1000000,sum v1:v3 by id6,10000,4,polars,0.17.10,,.filter,1,0.050722,0.195,TRUE,3000297,-1,,FALSE
pcmacs,,1683324185.1494646,filter,G1_1e7_1e2_0_0,10000000,sum v1 by id1,100,2,polars,0.17.10,,.filter,1,0.827343,1.504,TRUE,29998789,-1,,FALSE
pcmacs,,1683324190.3600793,filter,G1_1e7_1e2_0_0,10000000,sum v1 by id1:id2,10000,3,polars,0.17.10,,.filter,1,1.020586,1.622,TRUE,29998789,-1,,FALSE
pcmacs,,1683324200.8806162,filter,G1_1e7_1e2_0_0,10000000,sum v1 mean v3 by id3,100000,3,polars,0.17.10,,.filter,1,2.060392,1.062,TRUE,29998789,-1,,FALSE
pcmacs,,1683324204.5459013,filter,G1_1e7_1e2_0_0,10000000,mean v1:v3 by id4,100,4,polars,0.17.10,,.filter,1,0.714874,0.913,TRUE,251,-1,,FALSE
pcmacs,,1683324209.8025622,filter,G1_1e7_1e2_0_0,10000000,sum v1:v3 by id6,100000,4,polars,0.17.10,,.filter,1,1.029597,0.889,TRUE,29998789,-1,,FALSE
pcmacs,,1683324623.7406929,filter,G1_1e5_1e2_0_0,100000,sum v1 by id1,100,2,pandas,1.3.5,,.filter,1,0.026203,0.06,TRUE,300292,-1,,FALSE
pcmacs,,1683324624.172897,filter,G1_1e5_1e2_0_0,100000,sum v1 by id1:id2,9999,3,pandas,1.3.5,,.filter,1,0.081687,0.059,TRUE,300292,-1,,FALSE
pcmacs,,1683324624.4072373,filter,G1_1e5_1e2_0_0,100000,sum v1 mean v3 by id3,1000,3,pandas,1.3.5,,.filter,1,0.042299,0.059,TRUE,300292,-1,,FALSE
pcmacs,,1683324624.5946898,filter,G1_1e5_1e2_0_0,100000,mean v1:v3 by id4,100,4,pandas,1.3.5,,.filter,1,0.031729,0.059,TRUE,300.3,-1,,FALSE
pcmacs,,1683324624.8071249,filter,G1_1e5_1e2_0_0,100000,sum v1:v3 by id6,1000,4,pandas,1.3.5,,.filter,1,0.038441,0.059,TRUE,300292,-1,,FALSE
pcmacs,,1683324626.3388765,filter,G1_1e6_1e2_0_0,1000000,sum v1 by id1,100,2,pandas,1.3.5,,.filter,1,0.174655,0.101,TRUE,3000297,-1,,FALSE
pcmacs,,1683324629.035603,filter,G1_1e6_1e2_0_0,1000000,sum v1 by id1:id2,10000,3,pandas,1.3.5,,.filter,1,0.525255,0.1,TRUE,3000297,-1,,FALSE
pcmacs,,1683324630.488854,filter,G1_1e6_1e2_0_0,1000000,sum v1 mean v3 by id3,10000,3,pandas,1.3.5,,.filter,1,0.28106,0.101,TRUE,3000297,-1,,FALSE
pcmacs,,1683324631.5471954,filter,G1_1e6_1e2_0_0,1000000,mean v1:v3 by id4,100,4,pandas,1.3.5,,.filter,1,0.204044,0.102,TRUE,300.03,-1,,FALSE
pcmacs,,1683324633.657566,filter,G1_1e6_1e2_0_0,1000000,sum v1:v3 by id6,10000,4,pandas,1.3.5,,.filter,1,0.409998,0.102,TRUE,3000297,-1,,FALSE
pcmacs,,1683324650.122563,filter,G1_1e7_1e2_0_0,10000000,sum v1 by id1,100,2,pandas,1.3.5,,.filter,1,1.703868,0.581,TRUE,29998789,-1,,FALSE
pcmacs,,1683324673.5492177,filter,G1_1e7_1e2_0_0,10000000,sum v1 by id1:id2,10000,3,pandas,1.3.5,,.filter,1,4.590104,0.581,TRUE,29998789,-1,,FALSE
pcmacs,,1683324695.3744993,filter,G1_1e7_1e2_0_0,10000000,sum v1 mean v3 by id3,100000,3,pandas,1.3.5,,.filter,1,4.25731,0.583,TRUE,29998789,-1,,FALSE
pcmacs,,1683324708.3396223,filter,G1_1e7_1e2_0_0,10000000,mean v1:v3 by id4,100,4,pandas,1.3.5,,.filter,1,2.538737,0.577,TRUE,299.988,-1,,FALSE
pcmacs,,1683324737.5507767,filter,G1_1e7_1e2_0_0,10000000,sum v1:v3 by id6,100000,4,pandas,1.3.5,,.filter,1,5.723647,0.586,TRUE,29998789,-1,,FALSE
